epoch,lr,train_loss,train_cls,train_reg,train_mean_dist,val_mean_dist,val_median_dist,val_success_1A,val_success_2A,val_success_5A
225,0.0009754308888097583,4.99627,4.679453,0.158409,0.8147,0.7282,0.576,0.7757,0.9673,1.0
226,0.0009749412162109486,4.994474,4.671302,0.161586,0.8302,0.7374,0.5592,0.7383,0.9533,1.0
227,0.0009744468373277796,5.01998,4.692934,0.163523,0.8265,0.7245,0.5829,0.7757,0.9579,1.0
228,0.0009739477570591473,4.987817,4.666063,0.160877,0.8245,0.7101,0.5955,0.7804,0.972,1.0
229,0.0009734439803505345,4.980641,4.657665,0.161488,0.8251,0.7626,0.5879,0.7523,0.9533,1.0
230,0.000972935512193962,4.997253,4.674587,0.161333,0.8263,0.7465,0.5802,0.7664,0.9486,1.0
231,0.0009724223576279394,4.9781,4.657744,0.160178,0.8173,0.7706,0.5845,0.7523,0.9533,1.0
232,0.0009719045217374141,4.91884,4.595544,0.161648,0.8264,0.7248,0.5731,0.7523,0.9673,1.0
233,0.0009713820096537225,4.981103,4.651602,0.164751,0.836,0.7209,0.5587,0.7617,0.9626,1.0
234,0.0009708548265545375,4.977367,4.66051,0.158428,0.8154,0.7214,0.5677,0.7477,0.9533,1.0
235,0.0009703229776638185,4.907015,4.591706,0.157655,0.8085,0.7575,0.5901,0.743,0.9626,1.0
236,0.0009697864682517592,4.973428,4.65739,0.158019,0.8146,0.6954,0.544,0.7897,0.9579,1.0
237,0.0009692453036347351,4.979301,4.653554,0.162873,0.8265,0.7246,0.5982,0.7804,0.9486,1.0
238,0.0009686994891752507,4.935031,4.614524,0.160253,0.8232,0.7192,0.5703,0.785,0.9673,1.0
239,0.0009681490302818874,4.907203,4.593523,0.15684,0.8202,0.7661,0.6143,0.7243,0.972,1.0
240,0.0009675939324092487,4.933398,4.610904,0.161247,0.83,0.7452,0.5838,0.757,0.9533,1.0
241,0.0009670342010579065,4.953615,4.634594,0.159511,0.8203,0.732,0.5575,0.771,0.9579,1.0
242,0.0009664698417743475,4.910214,4.592733,0.15874,0.8217,0.8077,0.6109,0.6916,0.9299,1.0
243,0.0009659008601509168,4.956998,4.634268,0.161365,0.8312,0.7005,0.5407,0.7897,0.9766,1.0
244,0.0009653272618257631,4.939916,4.620754,0.159581,0.827,0.7949,0.6327,0.729,0.9533,1.0
245,0.0009647490524827833,4.939323,4.612441,0.163441,0.8314,0.7397,0.5594,0.7336,0.9673,1.0
246,0.0009641662378515658,4.974412,4.647477,0.163468,0.8169,0.7543,0.6182,0.7523,0.9766,1.0
247,0.0009635788237073333,4.926274,4.610392,0.157941,0.8178,0.7403,0.5651,0.7383,0.9673,1.0
